Name,Code,Category,Price,Change,Change%,52week,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),hyperlink
CDB,6947,"Telecommunications Service ProvidersTelecommunications & Media, Main Market",2.990,-0.08,-2.6%,3.050-4.000,"68,634",12.90,14.7,1.35,23.18,4.92,9.56,2.21,35077.21,https://www.klsescreener.com/v2/stocks/view/6947/celcomdigi-berhad
SDCG,0321,"Industrial ServicesIndustrial Products & Services, Ace Market",0.635,0.005,0.8%,0.465-0.640,"82,474",1.43,1.5,0.15,44.54,2.36,9.50,4.23,269.13,https://www.klsescreener.com/v2/stocks/view/0321/solar-district-cooling-group-berhad
PETRONM,3042,"Oil & Gas ProducersEnergy, Main Market",4.620,0.16,3.6%,2.950-5.150,"2,150",90.99,10,9.581,5.08,2.16,9.50,0.48,1247.40,https://www.klsescreener.com/v2/stocks/view/3042/petron-malaysia-refining-marketing-berhad
AEM,7146,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",0.050,0,0%,0.035-0.070,20,2.47,0,0.26,2.03,0.00,9.49,0.19,10.82,https://www.klsescreener.com/v2/stocks/view/7146/ae-multi-holdings-berhad
TSH,9059,"PlantationPlantation, Main Market",1.320,0.05,3.9%,1.000-1.400,"28,039",14.27,5,1.505,9.25,3.79,9.48,0.88,1691.98,https://www.klsescreener.com/v2/stocks/view/9059/tsh-resources-berhad
UMCCA,2593,"PlantationPlantation, Main Market",5.730,0.01,0.2%,4.900-6.030,11,69.54,18,7.35,8.24,3.14,9.46,0.78,1201.98,https://www.klsescreener.com/v2/stocks/view/2593/united-malacca-berhad
ABMB,2488,"BankingFinancial Services, Main Market",5.000,0.01,0.2%,3.829-5.590,"27,782",47.28,19.4,5,10.58,3.88,9.46,1.00,8651.12,https://www.klsescreener.com/v2/stocks/view/2488/alliance-bank-malaysia-berhad
CKI,5336,"Houshold GoodsConsumer Products & Services, Main Market",0.495,-0.005,-1%,0.465-1.110,"10,098",7.32,0,0.775,6.76,0.00,9.45,0.64,709.24,https://www.klsescreener.com/v2/stocks/view/5336/cuckoo-international-mal-berhad
TENAGA,5347,"ElectricityUtilities, Main Market",14.380,-0.04,-0.3%,12.500-14.980,"39,209",81.80,53,8.713,17.58,3.69,9.39,1.65,83823.07,https://www.klsescreener.com/v2/stocks/view/5347/tenaga-nasional-bhd
SLVEST,0215,"Renewable EnergyEnergy, Main Market",2.300,-0.06,-2.5%,1.530-3.390,"36,856",7.97,0,0.85,28.85,0.00,9.38,2.71,2197.57,https://www.klsescreener.com/v2/stocks/view/0215/solarvest-holdings-berhad
GLBHD,7382,"PlantationPlantation, Main Market",0.290,0.05,20.8%,0.200-0.340,71,13.02,0,1.39,2.23,0.00,9.37,0.21,64.64,https://www.klsescreener.com/v2/stocks/view/7382/golden-land-berhad
ECOWLD,8206,"PropertyProperty, Main Market",2.100,0.01,0.5%,1.520-2.300,"20,597",15.96,7,1.72,13.16,3.33,9.28,1.22,6765.19,https://www.klsescreener.com/v2/stocks/view/8206/eco-world-development-group-berhad
RGTECH,0202,"Digital ServicesTechnology, Ace Market",0.220,0,0%,0.220-0.340,155,1.60,0.6,0.173,13.76,2.73,9.24,1.27,122.21,https://www.klsescreener.com/v2/stocks/view/0202/radiant-globaltech-berhad
T7GLOBAL,7228,"Energy, Infrastructure, Equipment & ServicesEnergy, Main Market",0.265,0.005,1.9%,0.225-0.500,"6,373",5.08,0,0.55,5.22,0.00,9.24,0.48,243.87,https://www.klsescreener.com/v2/stocks/view/7228/t7-global-berhad
SIME,4197,"AutomotiveConsumer Products & Services, Main Market",2.370,0,0%,1.560-2.470,"144,175",25.56,14,2.78,9.27,5.91,9.19,0.85,16152.97,https://www.klsescreener.com/v2/stocks/view/4197/sime-darby-berhad
XPB,0370,"Industrial ServicesIndustrial Products & Services, Ace Market",0.145,0.005,3.6%,0.125-0.240,"2,515",1.01,0,0.083,14.34,0.00,9.14,1.75,135.50,https://www.klsescreener.com/v2/stocks/view/0370/express-powerr-solutions-m-berhad
IOIPG,5249,"PropertyProperty, Main Market",3.320,0.03,0.9%,1.630-3.720,"27,153",41.29,8,4.53,8.04,2.41,9.11,0.73,18280.40,https://www.klsescreener.com/v2/stocks/view/5249/ioi-properties-group-berhad
E&O,3417,"PropertyProperty, Main Market",0.705,-0.01,-1.4%,0.605-0.915,"8,650",9.09,1,1,7.75,1.42,9.09,0.70,1775.57,https://www.klsescreener.com/v2/stocks/view/3417/eastern-oriental-berhad
AYER,2305,"PropertyProperty, Main Market",6.910,0,0%,6.510-9.000,0,76.34,40,8.41,9.05,5.79,9.08,0.82,517.23,https://www.klsescreener.com/v2/stocks/view/2305/ayer-holdings-berhad
KLCC,5235SS,"Real Estate Investment TrustsReal Estate Investment Trusts, Main Market",9.100,-0.02,-0.2%,8.390-9.570,702,70.92,47,7.83,12.83,5.16,9.06,1.16,16428.53,https://www.klsescreener.com/v2/stocks/view/5235SS/klcc-real-estate-investment-trust
BIG,7005,"Diversified IndustrialsIndustrial Products & Services, Main Market",0.505,0,0%,0.485-0.660,150,7.69,0,0.85,6.57,0.00,9.05,0.59,32.06,https://www.klsescreener.com/v2/stocks/view/7005/b-i-g-industries-bhd
UTAMA,03043,"Building MaterialsIndustrial Products & Services, Leap Market",0.270,0,0%,0.270-0.270,0,0.71,0.18,0.079,38.05,0.67,9.02,3.43,90.02,https://www.klsescreener.com/v2/stocks/view/03043/uci-resources-berhad
VTC,0319,"Digital ServicesTechnology, Ace Market",0.195,0,0%,0.180-0.340,"1,835",0.99,0.85,0.11,19.73,4.36,8.99,1.77,76.44,https://www.klsescreener.com/v2/stocks/view/0319/vetece-holdings-berhad
PCCS,6068,"Personal GoodsConsumer Products & Services, Main Market",0.285,-0.015,-5%,0.255-0.340,1,7.31,1,0.815,3.90,3.51,8.97,0.35,63.56,https://www.klsescreener.com/v2/stocks/view/6068/pccs-group-berhad
TGL,9369,"Personal GoodsConsumer Products & Services, Main Market",0.810,0,0%,0.800-1.100,88,12.82,5,1.43,6.32,6.17,8.97,0.57,71.28,https://www.klsescreener.com/v2/stocks/view/9369/teo-guan-lee-corporation-bhd
JAGCPTL,6874,"Industrial ServicesIndustrial Products & Services, Main Market",0.985,-0.01,-1%,0.535-1.180,"1,377",10.82,4,1.21,9.10,4.06,8.94,0.81,548.90,https://www.klsescreener.com/v2/stocks/view/6874/jag-capital-berhad
PWF,7134,"Agricultural ProductsConsumer Products & Services, Main Market",0.765,-0.01,-1.3%,0.705-0.845,453,12.25,4.5,1.37,6.25,5.88,8.94,0.56,243.16,https://www.klsescreener.com/v2/stocks/view/7134/pwf-corporation-berhad
OCB,5533,"Food & BeveragesConsumer Products & Services, Main Market",0.740,0.005,0.7%,0.660-0.950,30,16.96,2,1.9,4.36,2.70,8.93,0.39,76.11,https://www.klsescreener.com/v2/stocks/view/5533/ocb-berhad
SEM,5250,"RetailersConsumer Products & Services, Main Market",1.990,0,0%,1.900-2.020,8,2.73,2.7,0.307,72.89,1.36,8.89,6.48,2331.71,https://www.klsescreener.com/v2/stocks/view/5250/7-eleven-malaysia-holdings-berhad
SET,0337,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Ace Market",0.165,-0.01,-5.7%,0.165-0.325,"28,141",1.24,0.6,0.14,13.27,3.64,8.88,1.18,165.13,https://www.klsescreener.com/v2/stocks/view/0337/swift-energy-technology-berhad
PPHB,8273,"Packaging MaterialsIndustrial Products & Services, Main Market",0.630,-0.005,-0.8%,0.610-0.765,"1,219",15.61,0.75,1.77,4.04,1.19,8.82,0.36,168.02,https://www.klsescreener.com/v2/stocks/view/8273/public-packages-holdings-bhd
PAVREIT,5212,"Real Estate Investment TrustsReal Estate Investment Trusts, Main Market",1.720,0,0%,1.220-2.030,"62,536",11.89,10,1.349,14.47,5.81,8.81,1.28,6756.09,https://www.klsescreener.com/v2/stocks/view/5212/pavilion-real-estate-investment-trust
HARISON,5008,"Food & BeveragesConsumer Products & Services, Main Market",1.200,0,0%,1.130-1.540,59,12.26,6.5,1.4,9.79,5.42,8.76,0.86,410.94,https://www.klsescreener.com/v2/stocks/view/5008/harrisons-holdings-m-bhd
GMUTUAL,9962,"PropertyProperty, Main Market",0.240,0,0%,0.225-0.345,450,10.28,1,1.18,2.34,4.17,8.71,0.20,90.15,https://www.klsescreener.com/v2/stocks/view/9962/gromutual-bhd
SCB,0316,"Food & BeveragesConsumer Products & Services, Ace Market",0.115,0,0%,0.110-0.180,439,1.56,0,0.18,7.35,0.00,8.69,0.64,30.59,https://www.klsescreener.com/v2/stocks/view/0316/sik-cheong-berhad
MI,5286,"Technology EquipmentTechnology, Main Market",2.810,-0.01,-0.4%,1.400-3.560,"16,432",10.42,3,1.2,26.97,1.07,8.68,2.34,2529.00,https://www.klsescreener.com/v2/stocks/view/5286/mi-technovation-berhad
GREATEC,0208,"Technology EquipmentTechnology, Main Market",1.880,0.01,0.5%,1.100-2.360,"44,479",3.46,0,0.399,54.41,0.00,8.66,4.71,4727.34,https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
TSA,0297,"MetalsIndustrial Products & Services, Ace Market",0.845,0.015,1.8%,0.700-0.920,255,5.19,4,0.6,16.27,4.73,8.65,1.41,261.36,https://www.klsescreener.com/v2/stocks/view/0297/tsa-group-berhad
AWC,7579,"Industrial ServicesIndustrial Products & Services, Main Market",0.510,0,0%,0.495-0.805,451,5.96,1.25,0.691,8.55,2.45,8.63,0.74,175.43,https://www.klsescreener.com/v2/stocks/view/7579/awc-berhad
WINSTAR,0336,"MetalsIndustrial Products & Services, Ace Market",0.525,0.01,1.9%,0.350-0.630,650,3.31,0,0.384,15.88,0.00,8.60,1.37,163.87,https://www.klsescreener.com/v2/stocks/view/0336/winstar-capital-berhad
PTRANS,0186,"Travel, Leisure & HospitalityConsumer Products & Services, Main Market",0.215,-0.005,-2.3%,0.215-0.740,"32,796",6.46,1.5,0.753,3.33,6.98,8.58,0.29,261.43,https://www.klsescreener.com/v2/stocks/view/0186/perak-transit-berhad
QES,0196,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",0.375,-0.005,-1.3%,0.340-0.520,"2,672",1.96,0.75,0.23,19.15,2.00,8.51,1.63,312.80,https://www.klsescreener.com/v2/stocks/view/0196/qes-group-berhad
PMCK,0363,"Health Care ProvidersHealth Care, Ace Market",0.200,0,0%,0.170-0.240,"5,162",1.19,0.12,0.14,16.78,0.60,8.51,1.43,218.12,https://www.klsescreener.com/v2/stocks/view/0363/pmck-berhad
MPI,3867,"SemiconductorsTechnology, Main Market",29.020,0.12,0.4%,13.300-34.580,"1,156",92.32,35,10.85,31.43,1.21,8.51,2.67,6090.85,https://www.klsescreener.com/v2/stocks/view/3867/malaysian-pacific-industries
UZMA,7250,"Energy, Infrastructure, Equipment & ServicesEnergy, Main Market",0.395,0.005,1.3%,0.315-0.560,"38,294",9.60,0,1.13,4.12,0.00,8.49,0.35,235.15,https://www.klsescreener.com/v2/stocks/view/7250/uzma-bhd
BMGREEN,0168,"Renewable EnergyEnergy, Main Market",1.200,-0.01,-0.8%,1.180-1.980,"2,682",7.05,2.75,0.83,17.03,2.29,8.49,1.45,825.36,https://www.klsescreener.com/v2/stocks/view/0168/bm-greentech-berhad
ASIAPAC,4057,"PropertyProperty, Main Market",0.120,0.01,9.1%,0.080-0.135,"69,113",6.95,0,0.819,1.73,0.00,8.49,0.15,178.66,https://www.klsescreener.com/v2/stocks/view/4057/asian-pac-holdings-berhad
CENGILD,0243,"Health Care ProvidersHealth Care, Ace Market",0.215,0.005,2.4%,0.200-0.275,"2,617",1.16,0.97,0.137,18.48,4.51,8.47,1.56,179.08,https://www.klsescreener.com/v2/stocks/view/0243/cengild-medical-berhad
VELESTO,5243,"Energy, Infrastructure, Equipment & ServicesEnergy, Main Market",0.345,0.015,4.5%,0.130-0.350,"384,455",2.45,3,0.29,14.05,8.70,8.47,1.19,2841.24,https://www.klsescreener.com/v2/stocks/view/5243/velesto-energy-berhad
HTPADU,5028,"Digital ServicesTechnology, Main Market",1.380,-0.07,-4.8%,1.400-2.400,714,13.96,0,1.65,9.89,0.00,8.46,0.84,224.92,https://www.klsescreener.com/v2/stocks/view/5028/heitech-padu-bhd
JTIASA,4383,"PlantationPlantation, Main Market",1.170,0.03,2.6%,0.995-1.290,"47,425",14.97,6.5,1.77,7.82,5.56,8.46,0.66,1139.25,https://www.klsescreener.com/v2/stocks/view/4383/jaya-tiasa-holdings-bhd
CEKD,0238,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Ace Market",0.290,0,0%,0.265-0.400,10,3.38,1.25,0.4,8.59,4.31,8.44,0.72,56.43,https://www.klsescreener.com/v2/stocks/view/0238/cekd-berhad
KEINHIN,7199,"MetalsIndustrial Products & Services, Main Market",1.300,0,0%,0.995-1.450,0,14.49,2.5,1.72,8.97,1.92,8.42,0.76,141.57,https://www.klsescreener.com/v2/stocks/view/7199/kein-hing-international-bhd
FIBON,0149,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",0.450,0,0%,0.305-0.460,0,5.77,1.1,0.69,7.80,2.44,8.36,0.65,44.10,https://www.klsescreener.com/v2/stocks/view/0149/fibon-berhad
CGB,8052,"ConstructionConstruction, Main Market",0.895,0,0%,0.830-0.910,"147,094",1.45,0,0.174,61.77,0.00,8.35,5.16,776.50,https://www.klsescreener.com/v2/stocks/view/8052/central-global-berhad
FIAMMA,6939,"Houshold GoodsConsumer Products & Services, Main Market",1.150,0.06,5.5%,0.980-1.270,"2,206",12.24,0,1.467,9.40,0.00,8.34,0.78,609.85,https://www.klsescreener.com/v2/stocks/view/6939/fiamma-holdings-berhad
AMEREIT,5307,"Real Estate Investment TrustsReal Estate Investment Trusts, Main Market",1.640,0,0%,1.400-1.800,"1,181",9.28,7.43,1.115,17.67,4.53,8.33,1.47,871.00,https://www.klsescreener.com/v2/stocks/view/5307/ame-real-estate-investment-trust
3A,0012,"Food & BeveragesConsumer Products & Services, Main Market",0.685,-0.005,-0.7%,0.670-0.785,"1,094",8.59,3.8,1.032,7.97,5.55,8.33,0.66,337.02,https://www.klsescreener.com/v2/stocks/view/0012/three-a-resources-berhad
OSK,5053,"PropertyProperty, Main Market",1.610,0,0%,1.013-1.740,"23,121",18.33,6,2.21,8.79,3.73,8.29,0.73,5060.15,https://www.klsescreener.com/v2/stocks/view/5053/osk-holdings-berhad
WELLS,0271,"Food & BeveragesConsumer Products & Services, Ace Market",0.650,-0.005,-0.8%,0.645-0.690,"10,000",0.75,0,0.09,87.11,0.00,8.25,7.19,462.88,https://www.klsescreener.com/v2/stocks/view/0271/wellspire-holdings-berhad
AXREIT,5106,"Real Estate Investment TrustsReal Estate Investment Trusts, Main Market",1.930,-0.01,-0.5%,1.710-2.240,"20,088",13.93,10.55,1.691,13.85,5.47,8.24,1.14,3908.05,https://www.klsescreener.com/v2/stocks/view/5106/axis-real-estate-investment-trust
JKGLAND,6769,"PropertyProperty, Main Market",0.105,0,0%,0.095-0.120,0,2.38,0,0.29,4.40,0.00,8.22,0.36,238.87,https://www.klsescreener.com/v2/stocks/view/6769/jkg-land-berhad
CHGP,7187,"PropertyProperty, Main Market",1.080,0.02,1.9%,0.945-1.245,208,4.25,1,0.52,25.43,0.93,8.17,2.08,1497.41,https://www.klsescreener.com/v2/stocks/view/7187/chin-hin-group-property-berhad
3REN,0328,"SemiconductorsTechnology, Ace Market",0.285,-0.015,-5%,0.200-0.480,"6,884",1.31,0.75,0.16,21.84,2.63,8.16,1.78,185.62,https://www.klsescreener.com/v2/stocks/view/0328/3ren-berhad
MILUX,7935,"Houshold GoodsConsumer Products & Services, Main Market",0.645,0.005,0.8%,0.300-0.705,50,1.39,0,0.17,46.54,0.00,8.15,3.79,151.61,https://www.klsescreener.com/v2/stocks/view/7935/milux-corporation-berhad
PLB,7055,"PropertyProperty, Main Market",0.860,0,0%,0.720-1.050,0,5.78,0,0.71,14.87,0.00,8.15,1.21,96.66,https://www.klsescreener.com/v2/stocks/view/7055/plb-engineering-berhad
GAMUDA,5398,"ConstructionConstruction, Main Market",3.980,-0.18,-4.3%,3.480-5.800,"326,581",17.19,10,2.13,23.15,2.51,8.07,1.87,23699.42,https://www.klsescreener.com/v2/stocks/view/5398/gamuda-berhad
SUNWAY,5211,"Diversified IndustrialsIndustrial Products & Services, Main Market",5.230,-0.01,-0.2%,3.858-5.978,"31,481",19.16,6,2.38,27.29,1.15,8.05,2.20,35592.37,https://www.klsescreener.com/v2/stocks/view/5211/sunway-berhad
MGB,7595,"ConstructionConstruction, Main Market",0.410,-0.01,-2.4%,0.395-0.650,"2,313",8.49,3.06,1.06,4.83,7.46,8.01,0.39,242.58,https://www.klsescreener.com/v2/stocks/view/7595/mgb-berhad
UOADEV,5200,"PropertyProperty, Main Market",1.830,0.01,0.5%,1.650-1.950,837,17.85,10,2.23,10.25,5.46,8.00,0.82,4860.73,https://www.klsescreener.com/v2/stocks/view/5200/uoa-development-bhd
PARAMON,1724,"PropertyProperty, Main Market",1.010,0,0%,0.900-1.110,"4,487",19.08,7.5,2.39,5.29,7.43,7.98,0.42,629.00,https://www.klsescreener.com/v2/stocks/view/1724/paramount-corporation-berhad
WTEC,0352,"Industrial ServicesIndustrial Products & Services, Ace Market",0.120,0,0%,0.115-0.265,83,0.96,0.5,0.12,12.56,4.17,7.96,1.00,57.60,https://www.klsescreener.com/v2/stocks/view/0352/wtec-group-berhad
TEAMSTR,0393,"RetailersConsumer Products & Services, Ace Market",0.245,0,0%,0.215-0.260,"157,573",2.85,0,0.09,8.58,0.00,7.93,2.72,196.00,https://www.klsescreener.com/v2/stocks/view/0393/teamstar-berhad
SUPREME,0330,"Consumer ServicesConsumer Products & Services, Ace Market",0.200,0,0%,0.175-0.265,0,2.22,0.85,0.28,9.02,4.25,7.92,0.71,86.00,https://www.klsescreener.com/v2/stocks/view/0330/supreme-consolidated-resources-bhd
DUFU,7233,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",1.340,-0.03,-2.2%,0.890-2.250,"34,831",5.13,3.5,0.65,26.12,2.61,7.89,2.06,733.14,https://www.klsescreener.com/v2/stocks/view/7233/dufu-technology-corp-berhad
RHONEMA,5278,"Agricultural ProductsConsumer Products & Services, Main Market",0.695,0,0%,0.580-0.735,100,6.31,2.5,0.8,11.01,3.60,7.89,0.87,155.91,https://www.klsescreener.com/v2/stocks/view/5278/rhone-ma-holdings-berhad
FOODIE,0382,"MediaTelecommunications & Media, Ace Market",0.315,-0.01,-3.1%,0.310-0.570,"19,034",0.95,0,0.06,33.29,0.00,7.89,5.25,279.72,https://www.klsescreener.com/v2/stocks/view/0382/foodie-media-berhad
TJSETIA,5297,"ConstructionConstruction, Main Market",0.200,0,0%,0.175-0.275,83,1.73,0.3,0.22,11.57,1.50,7.85,0.91,69.70,https://www.klsescreener.com/v2/stocks/view/5297/tuju-setia-berhad
PENTA,7160,"Technology EquipmentTechnology, Main Market",3.020,0.08,2.7%,1.860-4.460,"3,903",8.70,0,1.11,34.71,0.00,7.83,2.72,2151.20,https://www.klsescreener.com/v2/stocks/view/7160/pentamaster-corporation-berhad
EDEN,7471,"ElectricityUtilities, Main Market",0.145,-0.005,-3.3%,0.135-0.185,530,5.77,0,0.74,2.51,0.00,7.79,0.20,73.28,https://www.klsescreener.com/v2/stocks/view/7471/eden-inc-bhd
CWG,9423,"Consumer ServicesConsumer Products & Services, Main Market",0.160,0,0%,0.160-0.210,420,3.87,0.5,0.5,4.13,3.13,7.74,0.32,41.98,https://www.klsescreener.com/v2/stocks/view/9423/cwg-holdings-berhad
YENHER,5300,"Agricultural ProductsConsumer Products & Services, Main Market",0.765,-0.025,-3.2%,0.715-0.860,250,6.89,3,0.893,11.10,3.92,7.72,0.86,229.50,https://www.klsescreener.com/v2/stocks/view/5300/yenher-holdings-berhad
CAMRES,7128,"Houshold GoodsConsumer Products & Services, Main Market",0.305,0,0%,0.230-0.355,252,6.95,0,0.9,4.39,0.00,7.72,0.34,60.02,https://www.klsescreener.com/v2/stocks/view/7128/cam-resources-bhd
METRO,0329,"Health Care ProvidersHealth Care, Ace Market",0.220,0,0%,0.170-0.245,"11,224",0.59,0.65,0.077,37.55,2.95,7.65,2.87,215.36,https://www.klsescreener.com/v2/stocks/view/0329/metro-healthcare-berhad
HOMERIZ,5160,"Houshold GoodsConsumer Products & Services, Main Market",0.400,0.01,2.6%,0.380-0.575,221,5.20,0,0.68,7.69,0.00,7.65,0.59,185.30,https://www.klsescreener.com/v2/stocks/view/5160/homeritz-corporation-berhad
FM,7210,"Transportation & Logistics ServicesTransportation & Logistics, Main Market",0.590,0.005,0.9%,0.525-0.620,204,5.88,4.5,0.77,10.04,7.63,7.63,0.77,329.48,https://www.klsescreener.com/v2/stocks/view/7210/fm-global-logistics-holdings-berhad
MERSEC,0285,"Other FinancialsFinancial Services, Ace Market",0.280,0,0%,0.275-0.375,"8,060",1.64,0.5,0.215,17.10,1.79,7.62,1.30,250.04,https://www.klsescreener.com/v2/stocks/view/0285/mercury-securities-group-berhad
AQUAWALK,0380,"Travel, Leisure & HospitalityConsumer Products & Services, Ace Market",0.250,0,0%,0.220-0.450,"41,539",1.92,1,0.127,13.01,4.00,7.58,1.97,460.75,https://www.klsescreener.com/v2/stocks/view/0380/aquawalk-group-berhad
MANULFE,1058,"InsuranceFinancial Services, Main Market",2.250,0,0%,1.990-2.510,645,48.33,8,6.38,4.66,3.56,7.58,0.35,521.18,https://www.klsescreener.com/v2/stocks/view/1058/manulife-holdings-berhad
NOVA,0201,"PharmaceuticalsHealth Care, Main Market",0.355,-0.03,-7.8%,0.260-0.445,178,2.80,1.6,0.37,12.69,4.51,7.56,0.96,113.15,https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
ARMADA,5210,"Energy, Infrastructure, Equipment & ServicesEnergy, Main Market",0.325,0.005,1.6%,0.280-0.555,"409,601",7.41,1,0.99,4.39,3.08,7.48,0.33,1926.57,https://www.klsescreener.com/v2/stocks/view/5210/bumi-armada-berhad
PWROOT,7237,"Food & BeveragesConsumer Products & Services, Main Market",1.120,0,0%,1.120-1.480,400,5.08,6.5,0.68,22.05,5.80,7.47,1.65,475.49,https://www.klsescreener.com/v2/stocks/view/7237/power-root-berhad
GOHUB,0311,"SoftwareTechnology, Ace Market",0.800,-0.08,-9.1%,0.450-1.050,"2,139",1.19,0,0.16,66.98,0.00,7.46,5.00,352.00,https://www.klsescreener.com/v2/stocks/view/0311/go-hub-capital-berhad
SEG,9792,"Consumer ServicesConsumer Products & Services, Main Market",0.645,0,0%,0.605-0.830,"8,829",0.63,1.8,0.085,101.95,2.79,7.45,7.60,816.40,https://www.klsescreener.com/v2/stocks/view/9792/seg-international-bhd
AZAMJAYA,5329,"ConstructionConstruction, Main Market",1.040,0.02,2%,0.910-1.200,"2,427",2.52,0.5,0.34,41.19,0.48,7.43,3.06,520.00,https://www.klsescreener.com/v2/stocks/view/5329/azam-jaya-berhad
A1AKK,0365,"Food & BeveragesConsumer Products & Services, Ace Market",0.195,0.005,2.6%,0.180-0.255,"15,496",0.59,0.18,0.08,32.88,0.92,7.41,2.44,163.80,https://www.klsescreener.com/v2/stocks/view/0365/a1-a-k-koh-group-berhad
DENGKIL,0347,"ConstructionConstruction, Ace Market",0.145,-0.005,-3.3%,0.140-0.270,"1,289",1.46,0,0.2,9.95,0.00,7.29,0.72,78.32,https://www.klsescreener.com/v2/stocks/view/0347/wawasan-dengkil-holdings-berhad
LBS,5789,"PropertyProperty, Main Market",0.450,0.005,1.1%,0.370-0.520,"16,565",7.97,3.3,1.1,5.64,7.33,7.25,0.41,706.61,https://www.klsescreener.com/v2/stocks/view/5789/lbs-bina-group-berhad
TWL,7079,"PropertyProperty, Main Market",0.025,0,0%,0.020-0.030,"229,330",0.65,0,0.09,3.84,0.00,7.23,0.28,164.65,https://www.klsescreener.com/v2/stocks/view/7079/twl-holdings-berhad
PERDANA,7108,"Energy, Infrastructure, Equipment & ServicesEnergy, Main Market",0.160,0,0%,0.135-0.220,"70,542",2.52,0,0.35,6.35,0.00,7.19,0.46,356.42,https://www.klsescreener.com/v2/stocks/view/7108/perdana-petroleum-berhad
CSCSTEL,5094,"MetalsIndustrial Products & Services, Main Market",1.410,-0.03,-2.1%,1.000-1.590,"1,909",18.27,7,2.55,7.72,4.96,7.17,0.55,535.80,https://www.klsescreener.com/v2/stocks/view/5094/csc-steel-holdings-berhad
KLK,2445,"PlantationPlantation, Main Market",20.140,0.54,2.8%,18.340-21.580,"4,134",87.73,60,12.28,22.96,2.98,7.14,1.64,22480.29,https://www.klsescreener.com/v2/stocks/view/2445/kuala-lumpur-kepong-berhad
INARI,0166,"SemiconductorsTechnology, Main Market",1.380,0.07,5.3%,1.210-2.670,"126,168",5.20,5.5,0.729,26.52,3.99,7.14,1.89,5251.07,https://www.klsescreener.com/v2/stocks/view/0166/inari-amertron-berhad
DANCO,5276,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",0.365,0.005,1.4%,0.350-0.440,500,3.71,2,0.52,9.85,5.48,7.13,0.70,161.53,https://www.klsescreener.com/v2/stocks/view/5276/dancomech-holdings-berhad
LUXCHEM,5143,"ChemicalsIndustrial Products & Services, Main Market",0.355,-0.005,-1.4%,0.350-0.480,650,3.91,1.7,0.55,9.08,4.79,7.11,0.65,379.80,https://www.klsescreener.com/v2/stocks/view/5143/luxchem-corporation-berhad
GENP,2291,"PlantationPlantation, Main Market",5.150,0.02,0.4%,4.750-5.360,615,39.50,28,5.56,13.04,5.44,7.10,0.93,4621.39,https://www.klsescreener.com/v2/stocks/view/2291/genting-plantations-berhad
UNIMECH,7091,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",1.380,0,0%,1.290-1.500,21,16.65,4.7,2.353,8.29,3.41,7.07,0.59,208.06,https://www.klsescreener.com/v2/stocks/view/7091/unimech-group-bhd
PTARAS,9598,"ConstructionConstruction, Main Market",1.390,-0.02,-1.4%,1.250-1.660,66,16.87,6,2.4,8.24,4.32,7.03,0.58,230.55,https://www.klsescreener.com/v2/stocks/view/9598/pintaras-jaya-bhd
MYNEWS,5275,"RetailersConsumer Products & Services, Main Market",0.540,0,0%,0.500-0.700,500,2.38,1,0.34,22.72,1.85,6.99,1.59,405.19,https://www.klsescreener.com/v2/stocks/view/5275/mynews-holdings-berhad
NSOP,2038,"PlantationPlantation, Main Market",6.100,0,0%,3.880-6.100,0,67.84,26,9.71,8.99,4.26,6.99,0.63,428.23,https://www.klsescreener.com/v2/stocks/view/2038/negri-sembilan-oil-palms-berhad
BKAWAN,1899,"PlantationPlantation, Main Market",19.880,0.28,1.4%,18.600-20.320,184,130.78,70,18.79,15.20,3.52,6.96,1.06,7942.76,https://www.klsescreener.com/v2/stocks/view/1899/batu-kawan-berhad
SCC,0158,"Consumer ServicesConsumer Products & Services, Ace Market",0.220,-0.01,-4.3%,0.190-0.295,100,2.47,1,0.355,8.90,4.55,6.96,0.62,31.06,https://www.klsescreener.com/v2/stocks/view/0158/scc-holdings-berhad
MJPERAK,8141,"PropertyProperty, Main Market",0.255,0,0%,0.085-0.325,0,4.80,0,0.69,5.31,0.00,6.96,0.37,72.53,https://www.klsescreener.com/v2/stocks/view/8141/majuperak-holdings-berhad
PA,7225,"MetalsIndustrial Products & Services, Main Market",0.120,0,0%,0.115-0.225,"20,386",1.53,1,0.221,7.82,8.33,6.95,0.54,180.57,https://www.klsescreener.com/v2/stocks/view/7225/p-a-resources-berhad
IHH,5225,"Health Care ProvidersHealth Care, Main Market",9.020,0.03,0.3%,6.420-10.480,"27,347",23.78,10.5,3.43,37.94,1.16,6.93,2.63,79702.11,https://www.klsescreener.com/v2/stocks/view/5225/ihh-healthcare-berhad
