Name,Code,Category,Price,Change,Change%,52week,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),hyperlink
CBIP,7076,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",1.130,0,0%,1.000-1.330,1,-12.03,4,1.48,-9.40,3.54,-8.13,0.76,557.37,https://www.klsescreener.com/v2/stocks/view/7076/cb-industrial-product-holding-berhad
NICE,7139,"Personal GoodsConsumer Products & Services, Main Market",0.090,0,0%,0.080-0.150,"27,179",-0.41,0,0.048,-22.19,0.00,-8.40,1.86,146.38,https://www.klsescreener.com/v2/stocks/view/7139/niche-capital-emas-hldg-bhd
CYPARK,5184,"Renewable EnergyEnergy, Main Market",0.670,0.005,0.8%,0.530-0.960,"30,057",-6.09,0,0.72,-11.00,0.00,-8.46,0.93,551.29,https://www.klsescreener.com/v2/stocks/view/5184/cypark-resources-berhad
VIS,0120,"SemiconductorsTechnology, Ace Market",0.195,-0.005,-2.5%,0.170-0.280,"1,182",-1.62,0.5,0.19,-12.05,2.56,-8.51,1.03,51.25,https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
KIMHIN,5371,"Building MaterialsIndustrial Products & Services, Main Market",0.865,0,0%,0.370-0.885,0,-14.96,0,1.73,-5.78,0.00,-8.65,0.50,134.61,https://www.klsescreener.com/v2/stocks/view/5371/kim-hin-industry-bhd
ANCOMLB,0048,"Transportation & Logistics ServicesTransportation & Logistics, Ace Market",0.075,0,0%,0.070-0.110,"1,407",-0.26,0,0.03,-28.86,0.00,-8.66,2.50,35.50,https://www.klsescreener.com/v2/stocks/view/0048/ancom-logistics-berhad
MEDIAC,5090,"MediaTelecommunications & Media, Main Market",0.085,0,0%,0.080-0.120,"2,681",-2.77,0.45,0.317,-3.07,5.29,-8.72,0.27,140.65,https://www.klsescreener.com/v2/stocks/view/5090/media-chinese-international-limited
HEXCARE,7803,"Health Care Equipment & ServicesHealth Care, Main Market",0.075,-0.005,-6.2%,0.070-0.150,"7,499",-3.77,0,0.42,-1.99,0.00,-8.97,0.18,89.50,https://www.klsescreener.com/v2/stocks/view/7803/hextar-healthcare-berhad
BINACOM,0195,"Telecommunications Service ProvidersTelecommunications & Media, Ace Market",0.070,-0.005,-6.7%,0.070-0.170,"23,273",-1.99,0,0.22,-3.52,0.00,-9.05,0.32,42.30,https://www.klsescreener.com/v2/stocks/view/0195/binasat-communications-berhad
SWSCAP,7186,"Houshold GoodsConsumer Products & Services, Main Market",0.105,0,0%,0.090-0.180,0,-4.42,0,0.48,-2.37,0.00,-9.21,0.22,31.74,https://www.klsescreener.com/v2/stocks/view/7186/sws-capital-berhad
EMETALL,7217,"MetalsIndustrial Products & Services, Main Market",0.265,0,0%,0.195-0.300,0,-11.85,0,1.27,-2.24,0.00,-9.33,0.21,105.79,https://www.klsescreener.com/v2/stocks/view/7217/eonmetall-group-berhad
CHHB,5738,"PropertyProperty, Main Market",0.165,0,0%,0.150-0.280,0,-17.73,0,1.79,-0.93,0.00,-9.91,0.09,53.76,https://www.klsescreener.com/v2/stocks/view/5738/country-heights-holdings-bhd
NTPM,5066,"Houshold GoodsConsumer Products & Services, Main Market",0.190,0,0%,0.180-0.305,520,-4.37,0.4,0.44,-4.35,2.11,-9.93,0.43,213.41,https://www.klsescreener.com/v2/stocks/view/5066/ntpm-holdings-berhad
DGB,0152,"SoftwareTechnology, Ace Market",0.025,-0.005,-16.7%,0.025-0.060,"1,400",-4.34,0,0.43,-0.58,0.00,-10.09,0.06,8.26,https://www.klsescreener.com/v2/stocks/view/0152/dgb-asia-berhad
SAFETY,03056,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Leap Market",0.190,0,0%,0.190-0.190,0,-0.36,0,0.035,-52.78,0.00,-10.28,5.43,60.65,https://www.klsescreener.com/v2/stocks/view/03056/safetyware-group-berhad
HONGSENG,0041,"SoftwareTechnology, Main Market",0.010,0,0%,0.005-0.010,"19,855",-0.54,0,0.052,-1.85,0.00,-10.50,0.19,56.20,https://www.klsescreener.com/v2/stocks/view/0041/hong-seng-consolidated-berhad
JOE,7096,"Auto PartsIndustrial Products & Services, Main Market",0.050,0,0%,0.040-0.090,390,-4.73,0,0.45,-1.06,0.00,-10.50,0.11,15.30,https://www.klsescreener.com/v2/stocks/view/7096/joe-holding-berhad
HUBLINE,7013,"Transportation & Logistics ServicesTransportation & Logistics, Main Market",0.050,0,0%,0.025-0.050,"15,939",-0.42,0,0.04,-11.84,0.00,-10.56,1.25,214.50,https://www.klsescreener.com/v2/stocks/view/7013/hubline-berhad
YGL,0086,"SoftwareTechnology, Ace Market",0.070,0,0%,0.070-0.145,0,-0.52,0,0.049,-13.36,0.00,-10.61,1.42,19.16,https://www.klsescreener.com/v2/stocks/view/0086/ygl-convergence-berhad
FLBHD,5197,"Wood & Wood ProductsIndustrial Products & Services, Main Market",0.200,-0.015,-7%,0.200-0.335,108,-6.49,2,0.6,-3.08,10.00,-10.82,0.33,46.08,https://www.klsescreener.com/v2/stocks/view/5197/focus-lumber-berhad
MERIDIAN,5040,"PropertyProperty, Main Market",0.025,0,0%,0.010-0.055,0,-2.40,0,0.22,-1.04,0.00,-10.89,0.11,6.34,https://www.klsescreener.com/v2/stocks/view/5040/meridian-berhad
WCEHB,3565,"ConstructionConstruction, Main Market",0.660,0,0%,0.630-0.780,"2,231",-2.90,0,0.263,-22.76,0.00,-11.03,2.51,2178.21,https://www.klsescreener.com/v2/stocks/view/3565/wce-holdings-berhad
HEVEA,5095,"Wood & Wood ProductsIndustrial Products & Services, Main Market",0.130,-0.005,-3.7%,0.120-0.240,712,-7.08,1,0.64,-1.84,7.69,-11.07,0.20,73.81,https://www.klsescreener.com/v2/stocks/view/5095/heveaboard-bhd
CHEETAH,7209,"Personal GoodsConsumer Products & Services, Main Market",0.115,0.01,9.5%,0.070-0.140,"1,651",-2.22,0,0.2,-5.17,0.00,-11.11,0.58,55.92,https://www.klsescreener.com/v2/stocks/view/7209/cheetah-holdings-bhd
EQ8SID,0825EA,"Equity FundETF-Equity, ETF",0.740,0.005,0.7%,0.642-0.800,1,-7.90,0.6,0.711,-9.36,0.81,-11.11,1.04,43.66,https://www.klsescreener.com/v2/stocks/view/0825EA/eq8-msci-sea-islamic-dividend-etf
TTVHB,0272,"SemiconductorsTechnology, Ace Market",0.170,0,0%,0.135-0.765,"2,850",-2.47,0,0.22,-6.89,0.00,-11.22,0.77,81.53,https://www.klsescreener.com/v2/stocks/view/0272/tt-vision-holdings-berhad
CAMAROE,0371,"Agricultural ProductsConsumer Products & Services, Ace Market",0.080,0,0%,0.080-0.165,255,-0.77,0,0.05,-10.45,0.00,-11.48,1.60,39.60,https://www.klsescreener.com/v2/stocks/view/0371/camaroe-berhad
YNHPROP,3158,"PropertyProperty, Main Market",0.245,0.005,2.1%,0.210-0.440,"5,449",-21.16,0,1.82,-1.16,0.00,-11.63,0.13,129.60,https://www.klsescreener.com/v2/stocks/view/3158/ynh-property-berhad
OVERSEA,0153,"Travel, Leisure & HospitalityConsumer Products & Services, Ace Market",0.040,0,0%,0.020-0.060,"62,110",-0.59,0,0.05,-6.83,0.00,-11.72,0.80,91.19,https://www.klsescreener.com/v2/stocks/view/0153/oversea-enterprise-berhad
SYSTECH,0050,"SoftwareTechnology, Ace Market",0.155,-0.005,-3.1%,0.125-0.230,"19,406",-0.97,0,0.082,-16.03,0.00,-11.78,1.89,109.86,https://www.klsescreener.com/v2/stocks/view/0050/systech-bhd
SANICHI,0133,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Ace Market",0.065,0,0%,0.060-0.140,"1,255",-15.96,0,1.31,-0.41,0.00,-12.18,0.05,10.68,https://www.klsescreener.com/v2/stocks/view/0133/sanichi-technology-bhd
PPB,4065,"Food & BeveragesConsumer Products & Services, Main Market",11.420,-0.02,-0.2%,8.230-12.580,"8,135",-192.07,42,15.55,-5.95,3.68,-12.35,0.73,16246.08,https://www.klsescreener.com/v2/stocks/view/4065/ppb-group-berhad
PAM-C50,0823EA,"Equity FundETF-Equity, ETF",1.400,0.04,2.9%,1.300-1.650,15,-19.64,0,1.529,-7.13,0.00,-12.84,0.92,5.46,https://www.klsescreener.com/v2/stocks/view/0823EA/principal-ftse-china-50-etf
OPPSTAR,0275,"SemiconductorsTechnology, Ace Market",0.200,-0.015,-7%,0.205-0.605,"22,271",-2.59,0,0.2,-7.73,0.00,-12.93,1.00,128.27,https://www.klsescreener.com/v2/stocks/view/0275/oppstar-berhad
ARTRONIQ,0038,"ChemicalsIndustrial Products & Services, Ace Market",0.135,-0.005,-3.6%,0.065-0.170,"1,806",-1.65,0,0.126,-8.17,0.00,-13.14,1.07,60.58,https://www.klsescreener.com/v2/stocks/view/0038/artroniq-berhad
AIZO,7219,"Building MaterialsIndustrial Products & Services, Main Market",0.035,0,0%,0.030-0.110,"1,316",-0.66,0,0.05,-5.27,0.00,-13.27,0.70,69.76,https://www.klsescreener.com/v2/stocks/view/7219/aizo-group-berhad
SERSOL,0055,"ChemicalsIndustrial Products & Services, Ace Market",0.030,0,0%,0.015-0.065,"9,144",-0.27,0,0.02,-11.01,0.00,-13.62,1.50,24.14,https://www.klsescreener.com/v2/stocks/view/0055/sersol-berhad
MGRC,0155,"Health Care Equipment & ServicesHealth Care, Ace Market",0.170,-0.02,-10.5%,0.145-0.300,861,-1.58,0,0.115,-10.77,0.00,-13.72,1.48,25.66,https://www.klsescreener.com/v2/stocks/view/0155/malaysian-genomics-resource-centre-berhad
FOCUS,0116,"Travel, Leisure & HospitalityConsumer Products & Services, Ace Market",0.005,-0.005,-50%,0.005-0.025,"38,671",-0.26,0,0.019,-1.92,0.00,-13.97,0.27,31.86,https://www.klsescreener.com/v2/stocks/view/0116/focus-dynamics-group-berhad
MNC,0103,"Telecommunications EquipmentTelecommunications & Media, Ace Market",0.060,0.005,9.1%,0.055-0.135,109,-3.29,0,0.232,-1.83,0.00,-14.15,0.26,14.28,https://www.klsescreener.com/v2/stocks/view/0103/m-n-c-wireless-berhad
ENGKAH,7149,"Houshold GoodsConsumer Products & Services, Main Market",0.180,0,0%,0.180-0.330,30,-5.68,0,0.4,-3.17,0.00,-14.20,0.45,22.23,https://www.klsescreener.com/v2/stocks/view/7149/eng-kah-corporation-berhad
SMILE,03023,"Health Care ProvidersHealth Care, Leap Market",0.120,0,0%,0.080-0.130,0,-1.68,0,0.117,-7.13,0.00,-14.43,1.03,30.27,https://www.klsescreener.com/v2/stocks/view/03023/smile-link-healthcare-global-berhad
HENGYUAN,4324,"Oil & Gas ProducersEnergy, Main Market",1.440,0.14,10.8%,0.720-2.120,"195,818",-43.37,0,3.001,-3.32,0.00,-14.45,0.48,864.06,https://www.klsescreener.com/v2/stocks/view/4324/hengyuan-refining-company-berhad
P&O,6009,"InsuranceFinancial Services, Main Market",0.555,0,0%,0.545-0.755,"2,036",-13.47,0,0.89,-4.12,0.00,-15.13,0.62,164.36,https://www.klsescreener.com/v2/stocks/view/6009/pacific-orient-berhad
G3,7184,"Personal GoodsConsumer Products & Services, Main Market",0.015,0.005,50%,0.010-0.025,"3,820",-0.15,0,0.01,-9.91,0.00,-15.14,1.50,62.26,https://www.klsescreener.com/v2/stocks/view/7184/g3-global-berhad
XOX,0165,"Telecommunications Service ProvidersTelecommunications & Media, Ace Market",0.150,-0.005,-3.2%,0.150-0.520,"2,383",-10.38,0,0.631,-1.44,0.00,-16.47,0.24,27.88,https://www.klsescreener.com/v2/stocks/view/0165/xox-bhd
RALCO,7498,"ChemicalsIndustrial Products & Services, Main Market",1.090,0,0%,0.495-1.180,0,-13.75,0,0.83,-7.92,0.00,-16.57,1.31,55.37,https://www.klsescreener.com/v2/stocks/view/7498/ralco-corporation-bhd
MPAY,0156,"SoftwareTechnology, Ace Market",0.060,-0.005,-7.7%,0.060-0.095,"16,716",-1.33,0,0.08,-4.52,0.00,-16.59,0.75,61.92,https://www.klsescreener.com/v2/stocks/view/0156/managepay-systems-berhad
SG,5157,"Food & BeveragesConsumer Products & Services, Main Market",0.015,0.005,50%,0.005-0.015,"12,122",-1.27,0,0.076,-1.18,0.00,-16.65,0.20,23.43,https://www.klsescreener.com/v2/stocks/view/5157/saudigold-group-berhad
ESAFE,0190,"Auto PartsIndustrial Products & Services, Ace Market",0.075,-0.005,-6.2%,0.075-0.175,"6,720",-3.45,0,0.202,-2.18,0.00,-17.07,0.37,18.04,https://www.klsescreener.com/v2/stocks/view/0190/eversafe-rubber-berhad
PERTAMA,8532,"Personal GoodsConsumer Products & Services, Main Market",0.095,0,0%,0.035-0.180,0,-0.69,0,0.04,-13.84,0.00,-17.16,2.37,41.63,https://www.klsescreener.com/v2/stocks/view/8532/pertama-digital-berhad
COMPUGT,5037,"Industrial ServicesIndustrial Products & Services, Main Market",0.015,0,0%,0.010-0.020,0,-0.35,0,0.02,-4.26,0.00,-17.62,0.75,90.76,https://www.klsescreener.com/v2/stocks/view/5037/compugates-holdings-berhad
AHB,7315,"Consumer ServicesConsumer Products & Services, Main Market",0.035,0,0%,0.020-0.040,"3,145",-0.78,0,0.044,-4.47,0.00,-17.78,0.80,30.59,https://www.klsescreener.com/v2/stocks/view/7315/ahb-holdings-berhad
JCY,5161,"Technology EquipmentTechnology, Main Market",0.310,0.02,6.9%,0.250-0.440,"63,385",-4.80,0,0.269,-6.47,0.00,-17.81,1.15,666.64,https://www.klsescreener.com/v2/stocks/view/5161/jcy-international-berhad
MAA,1198,"InsuranceFinancial Services, Main Market",0.160,-0.01,-5.9%,0.125-0.225,20,-22.21,0,1.22,-0.72,0.00,-18.21,0.13,42.20,https://www.klsescreener.com/v2/stocks/view/1198/maa-group-berhad
REKATECH,0081,"Industrial ServicesIndustrial Products & Services, Ace Market",0.025,0,0%,0.020-0.050,0,-1.37,0,0.075,-1.82,0.00,-18.28,0.33,14.80,https://www.klsescreener.com/v2/stocks/view/0081/rekatech-capital-berhad
NETX,0020,"SoftwareTechnology, Ace Market",0.045,0,0%,0.030-0.075,"3,776",-1.65,0,0.09,-2.73,0.00,-18.35,0.50,42.21,https://www.klsescreener.com/v2/stocks/view/0020/netx-holdings-berhad
